,index,Weight 2014,Weight 2015,Weights 2016,ons_item_no,ons_item_name,Group,Top,Group Weight 2014,Group Weight 2015,Group Weights 2016,Top Weight 2014,Top Weight 2015,Top Weights 2016,Scaled Group Weight 2014,Scaled Group Weight 2015,Scaled Group Weight 2016,item_weight_2014,item_weight_2015,item_weight_2016
0,"Brandy, bottle",0.115789473684,0.115789473684,0.0967741935484,310405,"Brandy, bottle",Spirits,Alcoholic Drinks,6.0,5.0,5.0,20.0,19.0,19.0,0.3,0.263157894737,0.263157894737,0.0347368421053,0.0304709141274,0.025466893039
1,"RUM, WHITE, BOTTLE",0.0842105263158,0.1053,0.118279569892,310427,"RUM, WHITE, BOTTLE",Spirits,Alcoholic Drinks,6.0,5.0,5.0,20.0,19.0,19.0,0.3,0.263157894737,0.263157894737,0.0252631578947,0.0277105263158,0.0311262026033
2,"Vodka, bottle",0.368421052632,0.368421052632,0.376344086022,310403,"Vodka, bottle",Spirits,Alcoholic Drinks,6.0,5.0,5.0,20.0,19.0,19.0,0.3,0.263157894737,0.263157894737,0.110526315789,0.0969529085873,0.0990379173741
3,"Whisky, bottle",0.431578947368,0.4105,0.408602150538,310401,"Whisky, bottle",Spirits,Alcoholic Drinks,6.0,5.0,5.0,20.0,19.0,19.0,0.3,0.263157894737,0.263157894737,0.129473684211,0.108026315789,0.10752688172
4,"Apple Cider, bottle, 4.5%-5.5% ABV",0.2857,0.3056,0.305555555556,310218,"Apple Cider, bottle, 4.5%-5.5% ABV",Wine ,Alcoholic Drinks,9.0,9.0,9.0,20.0,19.0,19.0,0.45,0.473684210526,0.473684210526,0.128565,0.144757894737,0.144736842105
5,"Red Wine, European, bottle",0.3143,0.3056,0.305555555556,310421,"Red Wine, European, bottle",Wine ,Alcoholic Drinks,9.0,9.0,9.0,20.0,19.0,19.0,0.45,0.473684210526,0.473684210526,0.141435,0.144757894737,0.144736842105
6,"White Wine, European, bottle",0.4,0.3889,0.388888888889,310419,"White Wine, European, bottle",Wine ,Alcoholic Drinks,9.0,9.0,9.0,20.0,19.0,19.0,0.45,0.473684210526,0.473684210526,0.18,0.184215789474,0.184210526316
7,"Bitter, 4 cans, 3.4%-7.5% ABV",0.2593,0.2,0.2,310207,"Bitter, 4 cans, 3.4%-7.5% ABV",Beer,Alcoholic Drinks,5.0,5.0,5.0,20.0,19.0,19.0,0.25,0.263157894737,0.263157894737,0.064825,0.0526315789474,0.0526315789474
8,"Lager, 4 bottles, 4.3%-7.5% ABV",0.7407,0.8,0.8,310215,"Lager, 4 bottles, 4.3%-7.5% ABV",Beer,Alcoholic Drinks,5.0,5.0,5.0,20.0,19.0,19.0,0.25,0.263157894737,0.263157894737,0.185175,0.210526315789,0.210526315789
9,"Apples, dessert, per kg",0.1666,0.1795,0.2,212717,"Apples, dessert, per kg",Fruit ,Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0234647887324,0.0260144927536,0.0285714285714
10,"Bananas, per kg",0.2857,0.2821,0.25,212719,"Bananas, per kg",Fruit ,Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0402394366197,0.040884057971,0.0357142857143
11,"Grapes, per kg",0.2619,0.2564,0.25,212722,"Grapes, per kg",Fruit ,Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0368873239437,0.0371594202899,0.0357142857143
12,"Strawberries, per kg or per punnet",0.28571,0.2821,0.3,212720,"Strawberries, per kg or per punnet",Fruit ,Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0402408450704,0.040884057971,0.0428571428571
13,"Breakfast Cereal 1, sugar/chocolate coated",0.175,0.1795,0.179487179487,210213,"Breakfast Cereal 1, sugar/chocolate coated",Bread & Cereals ,Food and Non-Alcoholic Beverages,17.0,16.0,15.0,71.0,69.0,63.0,0.239436619718,0.231884057971,0.238095238095,0.0419014084507,0.0416231884058,0.042735042735
14,"Breakfast Cereal 2, NOT sugar/chocolate coated",0.3,0.3077,0.307692307692,210214,"Breakfast Cereal 2, NOT sugar/chocolate coated",Bread & Cereals ,Food and Non-Alcoholic Beverages,17.0,16.0,15.0,71.0,69.0,63.0,0.239436619718,0.231884057971,0.238095238095,0.0718309859155,0.0713507246377,0.0732600732601
15,"Dry Spaghetti or pasta, 500g",0.025,0.0256,0.025641025641,210204,"Dry Spaghetti or pasta, 500g",Bread & Cereals ,Food and Non-Alcoholic Beverages,17.0,16.0,15.0,71.0,69.0,63.0,0.239436619718,0.231884057971,0.238095238095,0.00598591549296,0.00593623188406,0.00610500610501
16,Plain Biscuits (eg. Digestive),0.2,0.2308,0.205128205128,210302,Plain Biscuits (eg. Digestive),Bread & Cereals ,Food and Non-Alcoholic Beverages,17.0,16.0,15.0,71.0,69.0,63.0,0.239436619718,0.231884057971,0.238095238095,0.0478873239437,0.0535188405797,0.04884004884
17,"White Sliced Loaf, branded",0.175,0.1538,0.153846153846,210111,"White Sliced Loaf, branded",Bread & Cereals ,Food and Non-Alcoholic Beverages,17.0,16.0,15.0,71.0,69.0,63.0,0.239436619718,0.231884057971,0.238095238095,0.0419014084507,0.0356637681159,0.03663003663
18,"Wholemeal Sliced Loaf, branded",0.125,0.1026,0.128205128205,210113,"Wholemeal Sliced Loaf, branded",Bread & Cereals ,Food and Non-Alcoholic Beverages,17.0,16.0,15.0,71.0,69.0,63.0,0.239436619718,0.231884057971,0.238095238095,0.0299295774648,0.0237913043478,0.030525030525
19,"Cola Flavoured Drink, bottle",0.36842,0.3846,0.394736842105,212011,"Cola Flavoured Drink, bottle","Mineral Waters, soft drinks & juices ",Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0518901408451,0.0557391304348,0.0563909774436
20,"Fresh/Chilled Orange Juice, eg. Tropicana",0.28947,0.3333,0.342105263158,212016,"Fresh/Chilled Orange Juice, eg. Tropicana","Mineral Waters, soft drinks & juices ",Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0407704225352,0.0483043478261,0.0488721804511
21,"Fruit Juice, not orange, eg. apple",0.34211,0.2821,0.263157894737,212006,"Fruit Juice, not orange, eg. apple","Mineral Waters, soft drinks & juices ",Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,0.0481845070423,0.040884057971,0.0375939849624
22,,,,,212017,fizzy bottled drink,"Mineral Waters, soft drinks & juices ",Food and Non-Alcoholic Beverages,10.0,10.0,9.0,71.0,69.0,63.0,0.140845070423,0.144927536232,0.142857142857,,,
23,"Cheese Cheddar, home produced, per kg",0.23077,0.2121,0.19696969697,211501,"Cheese Cheddar, home produced, per kg","Milk, cheese & eggs",Food and Non-Alcoholic Beverages,14.0,14.0,12.0,71.0,69.0,63.0,0.197183098592,0.202898550725,0.190476190476,0.045503943662,0.0430347826087,0.037518037518
24,"Shop Milk, whole milk",0.12308,0.1061,0.106060606061,211709,"Shop Milk, whole milk","Milk, cheese & eggs",Food and Non-Alcoholic Beverages,14.0,14.0,12.0,71.0,69.0,63.0,0.197183098592,0.202898550725,0.190476190476,0.0242692957746,0.0215275362319,0.020202020202
25,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre",0.43077,0.4545,0.469696969697,211710,"Shop Milk,semi-skimmed, per 2 pints/1.136 litre","Milk, cheese & eggs",Food and Non-Alcoholic Beverages,14.0,14.0,12.0,71.0,69.0,63.0,0.197183098592,0.202898550725,0.190476190476,0.0849405633803,0.0922173913043,0.0894660894661
26,"Yoghurt, small individual",0.06154,0.0606,0.0606060606061,211814,"Yoghurt, small individual","Milk, cheese & eggs",Food and Non-Alcoholic Beverages,14.0,14.0,12.0,71.0,69.0,63.0,0.197183098592,0.202898550725,0.190476190476,0.0121346478873,0.0122956521739,0.011544011544
27,Yoghurt/Fromage Frais,0.15384,0.1667,0.166666666667,211807,Yoghurt/Fromage Frais,"Milk, cheese & eggs",Food and Non-Alcoholic Beverages,14.0,14.0,12.0,71.0,69.0,63.0,0.197183098592,0.202898550725,0.190476190476,0.0303346478873,0.0338231884058,0.031746031746
28,"Fresh Veg, Onions, per kg",0.227,0.227,0.238095238095,212519,"Fresh Veg, Onions, per kg",Vegetables ,Food and Non-Alcoholic Beverages,15.0,14.0,13.0,71.0,69.0,63.0,0.211267605634,0.202898550725,0.206349206349,0.0479577464789,0.0460579710145,0.0491307634165
29,"Fresh Veg, Tomatoes, per kg",0.364,0.318,0.333333333333,212515,"Fresh Veg, Tomatoes, per kg",Vegetables ,Food and Non-Alcoholic Beverages,15.0,14.0,13.0,71.0,69.0,63.0,0.211267605634,0.202898550725,0.206349206349,0.0769014084507,0.0645217391304,0.0687830687831
30,"Potatoes, new",0.091,0.136,0.0952380952381,212399,"Potatoes, new",Vegetables ,Food and Non-Alcoholic Beverages,15.0,14.0,13.0,71.0,69.0,63.0,0.211267605634,0.202898550725,0.206349206349,0.0192253521127,0.0275942028986,0.0196523053666
31,"Potatoes, old, white",0.318,0.318,0.333333333333,212360,"Potatoes, old, white",Vegetables ,Food and Non-Alcoholic Beverages,15.0,14.0,13.0,71.0,69.0,63.0,0.211267605634,0.202898550725,0.206349206349,0.0671830985915,0.0645217391304,0.0687830687831
32,,,,,212361,"potatoes, baking",Vegetables ,Food and Non-Alcoholic Beverages,15.0,14.0,13.0,71.0,69.0,63.0,0.211267605634,0.202898550725,0.206349206349,,,
33,"Tea bags, per packet of 80, 250g",1.0,1.0,1.0,211901,"Tea bags, per packet of 80, 250g","Coffee, tea & cocoa ",Food and Non-Alcoholic Beverages,3.0,3.0,3.0,71.0,69.0,63.0,0.0422535211268,0.0434782608696,0.047619047619,0.0422535211268,0.0434782608696,0.047619047619
34,"Spreadable butter, 500g, 40-70% butter content",1.0,1.0,1.0,211305,"Spreadable butter, 500g, 40-70% butter content",Oils & fats ,Food and Non-Alcoholic Beverages,2.0,2.0,2.0,71.0,69.0,63.0,0.0281690140845,0.0289855072464,0.031746031746,0.0281690140845,0.0289855072464,0.031746031746
